,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/Algorithms/Algorithms/target/algorithms-1.0-SNAPSHOT.jar,18211,18205,15365,Test,Test,Test
1,/home/runner/work/Algorithms/Algorithms/target/surefire/surefirebooter336845768930128650.jar,12473,12455,12331,Test,Test,Test
2,/home/runner/work/Algorithms/Algorithms/target/checkstyle-checker.xml,2626,2611,2606,Checkjavacheckstyle,Checkjavacheckstyle,Checkjavacheckstyle
3,/home/runner/work/Algorithms/Algorithms/target/surefire/surefire2133522420733443479tmp,12478,12322,12317,Test,Test,Test
4,/home/runner/work/Algorithms/Algorithms/target/surefire/surefire_01601138092715816994tmp,12475,12329,12324,Test,Test,Test
5,/home/runner/work/Algorithms/Algorithms/src/test/java/com/github/pedrovgs/problem12/MoveZerosInArrayTest.java,8712,1303,1301,Test,uses-checkout,uses-checkout
6,/home/runner/work/Algorithms/Algorithms/target/classes/com/github/pedrovgs/problem2/VectorScalarProduct.class,16128,5587,5585,Test,Test,Test
7,/home/runner/work/Algorithms/Algorithms/target/classes/com/github/pedrovgs/problem78/AutoBoxingTrick.class,16850,5493,5491,Test,Test,Test
8,/home/runner/work/Algorithms/Algorithms/target/classes/com/github/pedrovgs/problem40/MoveElementsToPositions.class,17034,5501,5499,Test,Test,Test
9,/home/runner/work/Algorithms/Algorithms/target/classes/com/github/pedrovgs/problem5/DivideUsingSubtraction.class,17127,5509,5507,Test,Test,Test
10,/home/runner/work/Algorithms/Algorithms/target/classes/com/github/pedrovgs/problem59/DeleteListNode.class,16961,5517,5515,Test,Test,Test
11,/home/runner/work/Algorithms/Algorithms/target/classes/com/github/pedrovgs/problem22/ReverseLinkedList.class,16277,5525,5523,Test,Test,Test
12,/home/runner/work/Algorithms/Algorithms/target/classes/com/github/pedrovgs/problem12/MoveZerosInArray.class,16934,5533,5531,Test,Test,Test
13,/home/runner/work/Algorithms/Algorithms/target/classes/com/github/pedrovgs/problem48/WordSearch.class,16402,5541,5539,Test,Test,Test
14,/home/runner/work/Algorithms/Algorithms/target/classes/com/github/pedrovgs/problem62/PalindromeList.class,16652,5549,5547,Test,Test,Test
15,/home/runner/work/Algorithms/Algorithms/target/classes/com/github/pedrovgs/problem6/MergeSortedArrays.class,16702,5557,5555,Test,Test,Test
16,/home/runner/work/Algorithms/Algorithms/target/classes/com/github/pedrovgs/problem33/SimpleRegularExpression.class,16996,5565,5563,Test,Test,Test
17,/home/runner/work/Algorithms/Algorithms/target/classes/com/github/pedrovgs/problem58/FindKthElement.class,16526,5595,5593,Test,Test,Test
18,/home/runner/work/Algorithms/Algorithms/target/classes/com/github/pedrovgs/problem21/LowestCommonAncestor.class,16874,5603,5601,Test,Test,Test
19,/home/runner/work/Algorithms/Algorithms/target/classes/com/github/pedrovgs/problem16/BinaryTreePostOrder.class,16897,5611,5609,Test,Test,Test
20,/home/runner/work/Algorithms/Algorithms/target/classes/com/github/pedrovgs/problem64/GetTheElementInTheMiddleOfTheList.class,16985,5619,5617,Test,Test,Test
21,/home/runner/work/Algorithms/Algorithms/target/classes/com/github/pedrovgs/problem30/ScientificNotation.class,16055,5627,5625,Test,Test,Test
22,/home/runner/work/Algorithms/Algorithms/target/classes/com/github/pedrovgs/problem63/ConstantComplexityOrderStack$MinValue.class,16782,5691,5689,Test,Test,Test
23,/home/runner/work/Algorithms/Algorithms/target/classes/com/github/pedrovgs/problem63/ConstantComplexityOrderStack$Stack2.class,16757,5695,5693,Test,Test,Test
24,/home/runner/work/Algorithms/Algorithms/target/classes/com/github/pedrovgs/problem63/ConstantComplexityOrderStack.class,16769,5699,5697,Test,Test,Test
25,/home/runner/work/Algorithms/Algorithms/target/classes/com/github/pedrovgs/problem23/RemoveComments.class,16548,5757,5755,Test,Test,Test
