,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/GradleTestCI/GradleTestCI/app/build/distributions/app.tar,3789,3389,1837,Buildmodules,Buildmodules,Buildmodules
1,/home/runner/work/GradleTestCI/GradleTestCI/app/build/distributions/app.zip,5084,4735,3802,Buildmodules,Buildmodules,Buildmodules
2,/home/runner/work/GradleTestCI/GradleTestCI/app/build/libs/app.jar,3816,1763,1711,Buildmodules,Buildmodules,Buildmodules
3,/home/runner/work/GradleTestCI/GradleTestCI/app/build/scripts/app,4709,1799,1796,Buildmodules,Buildmodules,Buildmodules
4,/home/runner/work/GradleTestCI/GradleTestCI/app/build/classes/java/main/gradletestci/App.class,5412,1535,1533,Buildmodules,Buildmodules,Buildmodules
5,/home/runner/work/GradleTestCI/GradleTestCI/app/build/tmp/compileJava/previous-compilation-data.bin,1593,1566,1564,Buildmodules,Buildmodules,Buildmodules
6,/home/runner/work/GradleTestCI/GradleTestCI/app/build/tmp/jar/MANIFEST.MF,1722,1689,1687,Buildmodules,Buildmodules,Buildmodules
7,/home/runner/work/GradleTestCI/GradleTestCI/.github/workflows/script.py,5696,926,921,finished,uses-checkout,uses-checkout
8,/home/runner/work/GradleTestCI/GradleTestCI/settings.gradle,1243,1023,1018,Buildmodules,uses-checkout,uses-checkout
9,/home/runner/work/GradleTestCI/GradleTestCI/app/src/main/java/gradletestci/App.java,1527,966,959,Buildmodules,uses-checkout,uses-checkout
10,/home/runner/work/GradleTestCI/GradleTestCI/app/build/scripts/app.bat,4717,1804,1802,Buildmodules,Buildmodules,Buildmodules
11,/home/runner/work/GradleTestCI/GradleTestCI/app/build/classes/java/test/gradletestci/AppTest.class,5409,5236,5234,Buildmodules,Buildmodules,Buildmodules
12,/home/runner/work/GradleTestCI/GradleTestCI/app/build/tmp/compileTestJava/previous-compilation-data.bin,5310,5283,5281,Buildmodules,Buildmodules,Buildmodules
13,/home/runner/work/GradleTestCI/GradleTestCI/app/build/reports/tests/test/js/report.js,5519,5481,5479,Buildmodules,Buildmodules,Buildmodules
14,/home/runner/work/GradleTestCI/GradleTestCI/app/build/reports/tests/test/css/style.css,5533,5473,5471,Buildmodules,Buildmodules,Buildmodules
15,/home/runner/work/GradleTestCI/GradleTestCI/app/build/reports/tests/test/css/base-style.css,5539,5469,5467,Buildmodules,Buildmodules,Buildmodules
16,/home/runner/work/GradleTestCI/GradleTestCI/app/build/reports/tests/test/packages/gradletestci.html,5553,5460,5458,Buildmodules,Buildmodules,Buildmodules
17,/home/runner/work/GradleTestCI/GradleTestCI/app/build/reports/tests/test/classes/gradletestci.AppTest.html,5567,5457,5447,Buildmodules,Buildmodules,Buildmodules
18,/home/runner/work/GradleTestCI/GradleTestCI/app/build/reports/tests/test/index.html,5577,5441,5439,Buildmodules,Buildmodules,Buildmodules
19,/home/runner/work/GradleTestCI/GradleTestCI/app/build/test-results/test/TEST-gradletestci.AppTest.xml,5599,5437,5431,Buildmodules,Buildmodules,Buildmodules
20,/home/runner/work/GradleTestCI/GradleTestCI/app/build/test-results/test/binary/results.bin,5501,5421,5419,Buildmodules,Buildmodules,Buildmodules
21,/home/runner/work/GradleTestCI/GradleTestCI/app/build/test-results/test/binary/output.bin.idx,5495,5417,5415,Buildmodules,Buildmodules,Buildmodules
22,/home/runner/work/GradleTestCI/GradleTestCI/app/build.gradle,1257,953,-1,Buildmodules,uses-checkout,Not provided
23,/home/runner/work/GradleTestCI/GradleTestCI/app/src/test/java/gradletestci/AppTest.java,5217,977,-1,Buildmodules,uses-checkout,Not provided
