,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/Java-WebSocket/Java-WebSocket/target/sonar/.sonartmp/sensor-cache1776691841119575398.dat,-1,100993,84555,Not provided,Buildandanalyze,Buildandanalyze
1,/home/runner/work/Java-WebSocket/Java-WebSocket/autobahn reports/servers/index.html,-1,9014,-1,Not provided,uses-checkout,Not provided
2,/home/runner/work/Java-WebSocket/Java-WebSocket/autobahn reports/clients/index.html,-1,8983,-1,Not provided,uses-checkout,Not provided
3,/home/runner/work/Java-WebSocket/Java-WebSocket/target/site/jacoco/org.java_websocket.drafts/Draft_6455.java.html,-1,21741,21724,Not provided,Buildandanalyze,Buildandanalyze
4,/home/runner/work/Java-WebSocket/Java-WebSocket/target/site/jacoco/org.java_websocket.util/Base64.java.html,-1,21580,21564,Not provided,Buildandanalyze,Buildandanalyze
5,/home/runner/work/Java-WebSocket/Java-WebSocket/target/checkstyle-suppressions.xml,26395,26406,19955,Buildandanalyze,Buildandanalyze,Buildandanalyze
6,/home/runner/work/Java-WebSocket/Java-WebSocket/target/Java-WebSocket-1.5.4-SNAPSHOT.jar,20268,26231,19469,Buildandanalyze,Buildandanalyze,Buildandanalyze
7,/home/runner/work/Java-WebSocket/Java-WebSocket/target/site/jacoco/org.java_websocket.server/WebSocketServer.java.html,-1,21849,21835,Not provided,Buildandanalyze,Buildandanalyze
8,/home/runner/work/Java-WebSocket/Java-WebSocket/target/site/jacoco/jacoco-resources/prettify.js,-1,20363,20355,Not provided,Buildandanalyze,Buildandanalyze
9,/home/runner/work/Java-WebSocket/Java-WebSocket/target/site/jacoco/jacoco-sessions.html,-1,21952,21944,Not provided,Buildandanalyze,Buildandanalyze
10,/home/runner/work/Java-WebSocket/Java-WebSocket/autobahn reports/servers/index.json,-1,9024,9016,Not provided,uses-checkout,uses-checkout
11,/home/runner/work/Java-WebSocket/Java-WebSocket/target/site/jacoco/org.java_websocket/WebSocketImpl.java.html,-1,21157,21145,Not provided,Buildandanalyze,Buildandanalyze
12,/home/runner/work/Java-WebSocket/Java-WebSocket/target/maven-status/maven-compiler-plugin/testCompile/default-testCompile/inputFiles.lst,25614,25619,15867,Buildandanalyze,Buildandanalyze,Buildandanalyze
13,/home/runner/work/Java-WebSocket/Java-WebSocket/target/site/jacoco/org.java_websocket.drafts/Draft_6455.html,-1,21758,21752,Not provided,Buildandanalyze,Buildandanalyze
14,/home/runner/work/Java-WebSocket/Java-WebSocket/target/checkstyle-cachefile,26416,26431,20253,Buildandanalyze,Buildandanalyze,Buildandanalyze
15,/home/runner/work/Java-WebSocket/Java-WebSocket/target/site/jacoco/org.java_websocket/WebSocketImpl.html,-1,21174,21168,Not provided,Buildandanalyze,Buildandanalyze
16,/home/runner/work/Java-WebSocket/Java-WebSocket/target/site/jacoco/org.java_websocket.client/WebSocketClient.html,-1,21672,21666,Not provided,Buildandanalyze,Buildandanalyze
17,/home/runner/work/Java-WebSocket/Java-WebSocket/target/site/jacoco/org.java_websocket.server/WebSocketServer.html,-1,21884,21878,Not provided,Buildandanalyze,Buildandanalyze
18,/home/runner/work/Java-WebSocket/Java-WebSocket/target/site/jacoco/org.java_websocket.client/WebSocketClient.java.html,-1,21660,-1,Not provided,Buildandanalyze,Not provided
