,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/bytecode-viewer/bytecode-viewer/libs/org/jd/jd-gui/1.6.6bcv/jd-gui-1.6.6bcv.jar,3942,1824,1739,BuildwithMaven,uses-checkout,uses-checkout
1,/home/runner/work/bytecode-viewer/bytecode-viewer/libs/eu/bibl/banalysis/byteanalysis/1.0bcv/byteanalysis-1.0bcv.jar,3756,1702,-1,BuildwithMaven,uses-checkout,Not provided
2,/home/runner/work/bytecode-viewer/bytecode-viewer/pom.xml,3714,1909,1907,BuildwithMaven,uses-checkout,uses-checkout
3,/home/runner/work/bytecode-viewer/bytecode-viewer/libs/org/jd/jd-gui/1.6.6bcv/jd-gui-1.6.6bcv.pom.sha1,3720,1844,1842,BuildwithMaven,uses-checkout,uses-checkout
4,/home/runner/work/bytecode-viewer/bytecode-viewer/libs/org/jd/jd-gui/1.6.6bcv/jd-gui-1.6.6bcv.pom,3717,1836,1834,BuildwithMaven,uses-checkout,uses-checkout
5,/home/runner/work/bytecode-viewer/bytecode-viewer/libs/org/jd/jd-gui/1.6.6bcv/jd-gui-1.6.6bcv.jar.sha1,3945,1832,1830,BuildwithMaven,uses-checkout,uses-checkout
6,/home/runner/work/bytecode-viewer/bytecode-viewer/libs/eu/bibl/banalysis/byteanalysis/1.0bcv/byteanalysis-1.0bcv.pom.sha1,3726,1722,1720,BuildwithMaven,uses-checkout,uses-checkout
7,/home/runner/work/bytecode-viewer/bytecode-viewer/libs/eu/bibl/banalysis/byteanalysis/1.0bcv/byteanalysis-1.0bcv.pom,3723,1714,1712,BuildwithMaven,uses-checkout,uses-checkout
8,/home/runner/work/bytecode-viewer/bytecode-viewer/libs/eu/bibl/banalysis/byteanalysis/1.0bcv/byteanalysis-1.0bcv.jar.sha1,3762,1710,1708,BuildwithMaven,uses-checkout,uses-checkout
9,/home/runner/work/bytecode-viewer/bytecode-viewer/.github/workflows/script.py,3960,1591,1589,finished,uses-checkout,uses-checkout
