,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-2.5.txt,-1,2685,2683,Not provided,uses-checkout,uses-checkout
1,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.3.2.txt,-1,2721,2719,Not provided,uses-checkout,uses-checkout
2,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.3.1.txt,-1,2717,2715,Not provided,uses-checkout,uses-checkout
3,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.2.txt,-1,2713,2711,Not provided,uses-checkout,uses-checkout
4,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.2.1.txt,-1,2709,2707,Not provided,uses-checkout,uses-checkout
5,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.10.txt,-1,2705,2703,Not provided,uses-checkout,uses-checkout
6,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.1.txt,-1,2701,2699,Not provided,uses-checkout,uses-checkout
7,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.0.txt,-1,2697,2695,Not provided,uses-checkout,uses-checkout
8,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.0.1.txt,-1,2693,2691,Not provided,uses-checkout,uses-checkout
9,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-2.6.txt,-1,2689,2687,Not provided,uses-checkout,uses-checkout
10,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-2.4.txt,-1,2681,2679,Not provided,uses-checkout,uses-checkout
11,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.4.txt,-1,2729,2727,Not provided,uses-checkout,uses-checkout
12,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-2.3.txt,-1,2677,2675,Not provided,uses-checkout,uses-checkout
13,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-2.2.txt,-1,2673,2671,Not provided,uses-checkout,uses-checkout
14,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-2.1.txt,-1,2669,2667,Not provided,uses-checkout,uses-checkout
15,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-2.0.txt,-1,2665,2663,Not provided,uses-checkout,uses-checkout
16,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-1.0.txt,-1,2661,2659,Not provided,uses-checkout,uses-checkout
17,/home/runner/work/commons-lang/commons-lang/src/site/resources/images/logo.png,-1,2637,2635,Not provided,uses-checkout,uses-checkout
18,/home/runner/work/commons-lang/commons-lang/src/site/resources/download_lang.cgi,-1,2629,2627,Not provided,uses-checkout,uses-checkout
19,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.3.txt,-1,2725,2723,Not provided,uses-checkout,uses-checkout
20,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.5.txt,-1,2733,2731,Not provided,uses-checkout,uses-checkout
21,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.6.txt,-1,2737,2735,Not provided,uses-checkout,uses-checkout
22,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.9.txt,-1,2753,2751,Not provided,uses-checkout,uses-checkout
23,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.8.txt,-1,2749,2747,Not provided,uses-checkout,uses-checkout
24,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.8.1.txt,-1,2745,2743,Not provided,uses-checkout,uses-checkout
25,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.7.txt,-1,2741,2739,Not provided,uses-checkout,uses-checkout
26,/home/runner/work/commons-lang/commons-lang/src/media/logo.xcf,-1,2605,2603,Not provided,uses-checkout,uses-checkout
27,/home/runner/work/commons-lang/commons-lang/src/site/resources/.htaccess,-1,2613,2611,Not provided,uses-checkout,uses-checkout
28,/home/runner/work/commons-lang/commons-lang/src/test/resources/lang-708-input.txt,-1,3891,3889,Not provided,uses-checkout,uses-checkout
29,/home/runner/work/commons-lang/commons-lang/RELEASE-NOTES.txt,-1,1474,1472,Not provided,uses-checkout,uses-checkout
30,/home/runner/work/commons-lang/commons-lang/NOTICE.txt,-1,1466,1464,Not provided,uses-checkout,uses-checkout
31,/home/runner/work/commons-lang/commons-lang/LICENSE.txt,-1,1462,1460,Not provided,uses-checkout,uses-checkout
