,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/jv-array-list/jv-array-list/target/surefire-reports/TEST-core.basesyntax.ArrayListTest.xml,-1,2114,2108,Not provided,BuildwithMaven,BuildwithMaven
1,/home/runner/work/jv-array-list/jv-array-list/target/maven-status/maven-compiler-plugin/compile/default-compile/inputFiles.lst,-1,1683,1681,Not provided,BuildwithMaven,BuildwithMaven
2,/home/runner/work/jv-array-list/jv-array-list/target/maven-status/maven-compiler-plugin/compile/default-compile/createdFiles.lst,-1,1679,1677,Not provided,BuildwithMaven,BuildwithMaven
3,/home/runner/work/jv-array-list/jv-array-list/target/checkstyle-cachefile,-1,1757,1755,Not provided,BuildwithMaven,BuildwithMaven
4,/home/runner/work/jv-array-list/jv-array-list/target/maven-status/maven-compiler-plugin/testCompile/default-testCompile/createdFiles.lst,-1,1929,1927,Not provided,BuildwithMaven,BuildwithMaven
5,/home/runner/work/jv-array-list/jv-array-list/README.md,-1,893,888,Not provided,uses-checkout,uses-checkout
6,/home/runner/work/jv-array-list/jv-array-list/.gitignore,-1,885,880,Not provided,uses-checkout,uses-checkout
7,/home/runner/work/jv-array-list/jv-array-list/target/maven-status/maven-compiler-plugin/testCompile/default-testCompile/inputFiles.lst,-1,1933,1931,Not provided,BuildwithMaven,BuildwithMaven
8,/home/runner/work/jv-array-list/jv-array-list/.github/workflows/ci.yml,-1,869,864,Not provided,uses-checkout,uses-checkout
9,/home/runner/work/jv-array-list/jv-array-list/target/surefire-reports/core.basesyntax.ArrayListTest.txt,-1,2106,-1,Not provided,BuildwithMaven,Not provided
