,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/jv-array-list/jv-array-list/target/surefire/surefirebooter8417073981712574419.jar,2176,2156,2015,BuildwithMaven,BuildwithMaven,BuildwithMaven
1,/home/runner/work/jv-array-list/jv-array-list/target/checkstyle-checker.xml,1763,1759,1749,BuildwithMaven,BuildwithMaven,BuildwithMaven
2,/home/runner/work/jv-array-list/jv-array-list/target/surefire/surefire13439053534849145895tmp,2182,2006,2000,BuildwithMaven,BuildwithMaven,BuildwithMaven
3,/home/runner/work/jv-array-list/jv-array-list/target/surefire/surefire_03655497419358343447tmp,2178,2013,2008,BuildwithMaven,BuildwithMaven,BuildwithMaven
4,/home/runner/work/jv-array-list/jv-array-list/target/test-classes/core/basesyntax/Cat.class,2202,1928,1926,BuildwithMaven,BuildwithMaven,BuildwithMaven
5,/home/runner/work/jv-array-list/jv-array-list/target/classes/core/basesyntax/ArrayList.class,2198,1677,1675,BuildwithMaven,BuildwithMaven,BuildwithMaven
6,/home/runner/work/jv-array-list/jv-array-list/target/checkstyle-result.xml,1790,1783,1715,BuildwithMaven,BuildwithMaven,BuildwithMaven
7,/home/runner/work/jv-array-list/jv-array-list/target/classes/core/basesyntax/List.class,2191,1681,1679,BuildwithMaven,BuildwithMaven,BuildwithMaven
8,/home/runner/work/jv-array-list/jv-array-list/target/classes/core/basesyntax/ArrayListIndexOutOfBoundsException.class,2194,1673,1671,BuildwithMaven,BuildwithMaven,BuildwithMaven
9,/home/runner/work/jv-array-list/jv-array-list/target/test-classes/core/basesyntax/ArrayListTest.class,2188,1938,1936,BuildwithMaven,BuildwithMaven,BuildwithMaven
10,/home/runner/work/jv-array-list/jv-array-list/src/test/java/core/basesyntax/Cat.java,1878,978,973,BuildwithMaven,uses-checkout,uses-checkout
11,/home/runner/work/jv-array-list/jv-array-list/src/test/java/core/basesyntax/ArrayListTest.java,1881,970,963,BuildwithMaven,uses-checkout,uses-checkout
12,/home/runner/work/jv-array-list/jv-array-list/src/main/java/core/basesyntax/List.java,1781,957,952,BuildwithMaven,uses-checkout,uses-checkout
13,/home/runner/work/jv-array-list/jv-array-list/src/main/java/core/basesyntax/ArrayListIndexOutOfBoundsException.java,1769,949,944,BuildwithMaven,uses-checkout,uses-checkout
14,/home/runner/work/jv-array-list/jv-array-list/pom.xml,1572,929,924,BuildwithMaven,uses-checkout,uses-checkout
15,/home/runner/work/jv-array-list/jv-array-list/.github/workflows/script.py,2255,905,900,finished,uses-checkout,uses-checkout
16,/home/runner/work/jv-array-list/jv-array-list/src/main/java/core/basesyntax/ArrayList.java,1775,941,-1,BuildwithMaven,uses-checkout,Not provided
