,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/jv-linked-list/jv-linked-list/target/surefire/surefirebooter11980652146256277175.jar,1989,1966,1947,BuildwithMaven,BuildwithMaven,BuildwithMaven
1,/home/runner/work/jv-linked-list/jv-linked-list/target/checkstyle-checker.xml,1698,1694,1684,BuildwithMaven,BuildwithMaven,BuildwithMaven
2,/home/runner/work/jv-linked-list/jv-linked-list/target/surefire/surefire18052429010392223361tmp,1994,1938,1933,BuildwithMaven,BuildwithMaven,BuildwithMaven
3,/home/runner/work/jv-linked-list/jv-linked-list/src/test/java/core/basesyntax/MyLinkedListTest.java,1817,935,929,BuildwithMaven,uses-checkout,uses-checkout
4,/home/runner/work/jv-linked-list/jv-linked-list/target/surefire/surefire_010449688931090308062tmp,1991,1945,1940,BuildwithMaven,BuildwithMaven,BuildwithMaven
5,/home/runner/work/jv-linked-list/jv-linked-list/src/main/java/core/basesyntax/MyLinkedListInterface.java,1704,915,910,BuildwithMaven,uses-checkout,uses-checkout
6,/home/runner/work/jv-linked-list/jv-linked-list/.github/workflows/script.py,2057,872,867,finished,uses-checkout,uses-checkout
7,/home/runner/work/jv-linked-list/jv-linked-list/target/test-classes/core/basesyntax/MyLinkedListTest.class,1997,1871,1869,BuildwithMaven,BuildwithMaven,BuildwithMaven
8,/home/runner/work/jv-linked-list/jv-linked-list/pom.xml,1522,896,891,BuildwithMaven,uses-checkout,uses-checkout
9,/home/runner/work/jv-linked-list/jv-linked-list/target/checkstyle-result.xml,1719,1712,1650,BuildwithMaven,BuildwithMaven,BuildwithMaven
10,/home/runner/work/jv-linked-list/jv-linked-list/target/classes/core/basesyntax/MyLinkedList.class,2006,1616,1614,BuildwithMaven,BuildwithMaven,BuildwithMaven
11,/home/runner/work/jv-linked-list/jv-linked-list/target/classes/core/basesyntax/MyLinkedListInterface.class,2000,1612,1610,BuildwithMaven,BuildwithMaven,BuildwithMaven
12,/home/runner/work/jv-linked-list/jv-linked-list/target/test-classes/core/basesyntax/Cat.class,2003,1864,1862,BuildwithMaven,BuildwithMaven,BuildwithMaven
13,/home/runner/work/jv-linked-list/jv-linked-list/src/main/java/core/basesyntax/MyLinkedList.java,1710,907,-1,BuildwithMaven,uses-checkout,Not provided
14,/home/runner/work/jv-linked-list/jv-linked-list/src/test/java/core/basesyntax/Cat.java,1814,926,-1,BuildwithMaven,uses-checkout,Not provided
