,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/matsim-example-project/matsim-example-project/matsim-example-project-0.0.1-SNAPSHOT.jar,-1,20337,3516,Not provided,BuildwithMaven,BuildwithMaven
1,/home/runner/work/matsim-example-project/matsim-example-project/test/input/org/matsim/project/RunMatsimTest/test/output_events.xml.gz,-1,1439,1431,Not provided,uses-checkout,uses-checkout
2,/home/runner/work/matsim-example-project/matsim-example-project/LICENSE,-1,1266,1260,Not provided,uses-checkout,uses-checkout
3,/home/runner/work/matsim-example-project/matsim-example-project/scenarios/equil/plans100.xml,-1,1344,1338,Not provided,uses-checkout,uses-checkout
4,/home/runner/work/matsim-example-project/matsim-example-project/test/input/org/matsim/project/RunMatsimTest/test/output_plans.xml.gz,-1,1447,1442,Not provided,uses-checkout,uses-checkout
5,/home/runner/work/matsim-example-project/matsim-example-project/src/main/R/README.md,-1,1357,1350,Not provided,uses-checkout,uses-checkout
6,/home/runner/work/matsim-example-project/matsim-example-project/mvnw,-1,1282,1277,Not provided,uses-checkout,uses-checkout
7,/home/runner/work/matsim-example-project/matsim-example-project/.gitignore,-1,1222,1217,Not provided,uses-checkout,uses-checkout
8,/home/runner/work/matsim-example-project/matsim-example-project/.gitlab-ci.yml,-1,1230,1225,Not provided,uses-checkout,uses-checkout
9,/home/runner/work/matsim-example-project/matsim-example-project/.mvn/wrapper/maven-wrapper.properties,-1,1249,1244,Not provided,uses-checkout,uses-checkout
10,/home/runner/work/matsim-example-project/matsim-example-project/.travis.yml,-1,1257,1252,Not provided,uses-checkout,uses-checkout
11,/home/runner/work/matsim-example-project/matsim-example-project/README.md,-1,1274,1269,Not provided,uses-checkout,uses-checkout
12,/home/runner/work/matsim-example-project/matsim-example-project/mvnw.cmd,-1,1290,1285,Not provided,uses-checkout,uses-checkout
13,/home/runner/work/matsim-example-project/matsim-example-project/scenarios/equil/counts100.xml,-1,1327,1322,Not provided,uses-checkout,uses-checkout
14,/home/runner/work/matsim-example-project/matsim-example-project/scenarios/equil/network.xml,-1,1335,1330,Not provided,uses-checkout,uses-checkout
15,/home/runner/work/matsim-example-project/matsim-example-project/.github/workflows/maven.yml,-1,1206,1201,Not provided,uses-checkout,uses-checkout
16,/home/runner/work/matsim-example-project/matsim-example-project/target/surefire-reports/TEST-org.matsim.project.RunMatsimTest.xml,-1,3086,3084,Not provided,BuildwithMaven,BuildwithMaven
17,/home/runner/work/matsim-example-project/matsim-example-project/target/maven-status/maven-compiler-plugin/testCompile/default-testCompile/inputFiles.lst,-1,2889,2887,Not provided,BuildwithMaven,BuildwithMaven
18,/home/runner/work/matsim-example-project/matsim-example-project/target/maven-status/maven-compiler-plugin/testCompile/default-testCompile/createdFiles.lst,-1,2885,2883,Not provided,BuildwithMaven,BuildwithMaven
19,/home/runner/work/matsim-example-project/matsim-example-project/target/maven-status/maven-compiler-plugin/compile/default-compile/inputFiles.lst,-1,2665,2663,Not provided,BuildwithMaven,BuildwithMaven
20,/home/runner/work/matsim-example-project/matsim-example-project/target/maven-status/maven-compiler-plugin/compile/default-compile/createdFiles.lst,-1,2661,2659,Not provided,BuildwithMaven,BuildwithMaven
21,/home/runner/work/matsim-example-project/matsim-example-project/target/surefire-reports/org.matsim.project.RunMatsimTest.txt,-1,3082,-1,Not provided,BuildwithMaven,Not provided
22,/home/runner/work/matsim-example-project/matsim-example-project/src/main/python/README.md,-1,1414,-1,Not provided,uses-checkout,Not provided
23,/home/runner/work/matsim-example-project/matsim-example-project/scenarios/equil/config.xml,-1,1319,-1,Not provided,uses-checkout,Not provided
24,/home/runner/work/matsim-example-project/matsim-example-project/original-input-data/README.md,-1,1300,-1,Not provided,uses-checkout,Not provided
25,/home/runner/work/matsim-example-project/matsim-example-project/.mvn/wrapper/MavenWrapperDownloader.java,-1,1241,-1,Not provided,uses-checkout,Not provided
