,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/neo4j-apoc-procedures/neo4j-apoc-procedures/core/build/libs/apoc-4.4.0.9-core.jar,224381,217860,153150,BuildwithGradle,BuildwithGradle,BuildwithGradle
1,/home/runner/work/neo4j-apoc-procedures/neo4j-apoc-procedures/core/build/resources/test/largeFile.graphml,140078,133631,110053,BuildwithGradle,BuildwithGradle,BuildwithGradle
2,/home/runner/work/neo4j-apoc-procedures/neo4j-apoc-procedures/core/build/libs/apoc-4.4.0.9-javadoc.jar,78727,78603,70689,BuildwithGradle,BuildwithGradle,BuildwithGradle
3,/home/runner/work/neo4j-apoc-procedures/neo4j-apoc-procedures/core/src/test/resources/largeFile.graphml,133630,13557,10617,BuildwithGradle,uses-checkout,uses-checkout
4,/home/runner/work/neo4j-apoc-procedures/neo4j-apoc-procedures/core/build/libs/apoc-4.4.0.9.jar,57563,57443,52573,BuildwithGradle,BuildwithGradle,BuildwithGradle
5,/home/runner/work/neo4j-apoc-procedures/neo4j-apoc-procedures/core/build/plugins/apoc-4.4.0.9-core.jar,226894,224382,219977,BuildwithGradle,BuildwithGradle,BuildwithGradle
6,/home/runner/work/neo4j-apoc-procedures/neo4j-apoc-procedures/core/build/libs/apoc-4.4.0.9-sources.jar,82941,82896,79479,BuildwithGradle,BuildwithGradle,BuildwithGradle
7,/home/runner/work/neo4j-apoc-procedures/neo4j-apoc-procedures/core/build/resources/test/csv-inputs/largeFile.csv,134174,110035,108517,BuildwithGradle,BuildwithGradle,BuildwithGradle
8,/home/runner/work/neo4j-apoc-procedures/neo4j-apoc-procedures/.gradle/6.1.1/fileHashes/resourceHashesCache.bin,148225,141419,40286,BuildwithGradle,BuildwithGradle,BuildwithGradle
9,/home/runner/work/neo4j-apoc-procedures/neo4j-apoc-procedures/core/target/import/allPlainOdd.cypher.bz2,243612,243609,243389,BuildwithGradle,BuildwithGradle,BuildwithGradle
10,/home/runner/work/neo4j-apoc-procedures/neo4j-apoc-procedures/test-utils/build/libs/test-utils-4.4.0.9.jar,250799,87914,87564,BuildwithGradle,BuildwithGradle,BuildwithGradle
11,/home/runner/work/neo4j-apoc-procedures/neo4j-apoc-procedures/core/src/test/resources/csv-inputs/largeFile.csv,257746,10599,10428,BuildwithGradle,uses-checkout,uses-checkout
12,/home/runner/work/neo4j-apoc-procedures/neo4j-apoc-procedures/core/build/docs/javadoc/index-all.html,71373,64616,64480,BuildwithGradle,BuildwithGradle,BuildwithGradle
13,/home/runner/work/neo4j-apoc-procedures/neo4j-apoc-procedures/core/build/test-results/test/binary/output.bin,262526,260583,141444,BuildwithGradle,BuildwithGradle,BuildwithGradle
14,/home/runner/work/neo4j-apoc-procedures/neo4j-apoc-procedures/core/src/test/resources/csv-inputs/personsWithoutIdField.csv,259760,259641,253865,BuildwithGradle,BuildwithGradle,BuildwithGradle
15,/home/runner/work/neo4j-apoc-procedures/neo4j-apoc-procedures/core/build/docs/javadoc/member-search-index.js,77836,64470,64429,BuildwithGradle,BuildwithGradle,BuildwithGradle
16,/home/runner/work/neo4j-apoc-procedures/neo4j-apoc-procedures/processor/build/libs/apoc-processor-4.4.0.9.jar,45171,40247,40141,BuildwithGradle,BuildwithGradle,BuildwithGradle
17,/home/runner/work/neo4j-apoc-procedures/neo4j-apoc-procedures/core/build/docs/javadoc/jquery/jszip/dist/jszip.js,78150,64733,-1,BuildwithGradle,BuildwithGradle,Not provided
18,/home/runner/work/neo4j-apoc-procedures/neo4j-apoc-procedures/core/target/import/MapPath.json,251582,251579,251544,BuildwithGradle,BuildwithGradle,BuildwithGradle
19,/home/runner/work/neo4j-apoc-procedures/neo4j-apoc-procedures/core/target/import/all.cypher,243844,243841,242040,BuildwithGradle,BuildwithGradle,BuildwithGradle
