,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/open-location-code/open-location-code/test_data/shortCodeTests.csv,3031,2576,2574,test,uses-checkout,uses-checkout
1,/home/runner/work/open-location-code/open-location-code/test_data/encoding.csv,3025,2572,2570,test,uses-checkout,uses-checkout
2,/home/runner/work/open-location-code/open-location-code/test_data/decoding.csv,3022,2568,2566,test,uses-checkout,uses-checkout
3,/home/runner/work/open-location-code/open-location-code/test_data/validityTests.csv,3028,2580,2578,test,uses-checkout,uses-checkout
4,/home/runner/work/open-location-code/open-location-code/WORKSPACE,2932,1232,1230,test,uses-checkout,uses-checkout
5,/home/runner/work/open-location-code/open-location-code/.bazelrc,2867,1186,1184,test,uses-checkout,uses-checkout
6,/home/runner/work/open-location-code/open-location-code/.github/workflows/script.py,3143,1196,1194,finished,uses-checkout,uses-checkout
7,/home/runner/work/open-location-code/open-location-code/c/BUILD,2938,1597,1595,test,uses-checkout,uses-checkout
8,/home/runner/work/open-location-code/open-location-code/c/benchmark/bm-c.c,3076,1614,1612,checkformatting,uses-checkout,uses-checkout
9,/home/runner/work/open-location-code/open-location-code/c/benchmark/shared.c,3090,1622,1620,checkformatting,uses-checkout,uses-checkout
10,/home/runner/work/open-location-code/open-location-code/c/clang_check.sh,3128,1626,1624,checkformatting,uses-checkout,uses-checkout
11,/home/runner/work/open-location-code/open-location-code/c/example.c,3095,1630,1628,checkformatting,uses-checkout,uses-checkout
12,/home/runner/work/open-location-code/open-location-code/c/openlocationcode_test.cc,3007,1634,1632,test,uses-checkout,uses-checkout
13,/home/runner/work/open-location-code/open-location-code/c/src/olc.h,3113,1644,1642,checkformatting,uses-checkout,uses-checkout
14,/home/runner/work/open-location-code/open-location-code/c/src/olc_private.h,3122,1648,1646,checkformatting,uses-checkout,uses-checkout
15,/home/runner/work/open-location-code/open-location-code/cpp/gtest.BUILD,2958,1688,1686,test,uses-checkout,uses-checkout
16,/home/runner/work/open-location-code/open-location-code/c/.clang-format,3125,1589,-1,checkformatting,uses-checkout,Not provided
17,/home/runner/work/open-location-code/open-location-code/c/src/olc.c,3108,1640,-1,checkformatting,uses-checkout,Not provided
