,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/open-location-code/open-location-code/js/node_modules/terser/dist/bundle.js.map,-1,48878,43251,Not provided,test,test
1,/home/runner/work/open-location-code/open-location-code/js/node_modules/terser/dist/bundle.min.js.map,-1,52208,49830,Not provided,test,test
2,/home/runner/work/open-location-code/open-location-code/js/node_modules/object.assign/test.html,-1,37757,17123,Not provided,test,test
3,/home/runner/work/open-location-code/open-location-code/js/node_modules/bower/lib/node_modules/bower-registry-client/node_modules/ajv/dist/regenerator.min.js,-1,91516,91446,Not provided,test,test
4,/home/runner/work/open-location-code/open-location-code/js/node_modules/terser/dist/bundle.js,-1,43163,29336,Not provided,test,test
5,/home/runner/work/open-location-code/open-location-code/js/node_modules/rxjs/bundles/rxjs.umd.js.map,-1,71975,71866,Not provided,test,test
6,/home/runner/work/open-location-code/open-location-code/js/node_modules/bower/lib/node_modules/redeyed/node_modules/esprima/test/test.js,-1,94005,93959,Not provided,test,test
7,/home/runner/work/open-location-code/open-location-code/js/node_modules/redeyed/node_modules/esprima/test/test.js,-1,45099,39962,Not provided,test,test
8,/home/runner/work/open-location-code/open-location-code/docs/images/code_areas.png,-1,1859,-1,Not provided,uses-checkout,Not provided
9,/home/runner/work/open-location-code/open-location-code/js/node_modules/bower/lib/node_modules/handlebars/dist/handlebars.amd.js,-1,84360,84320,Not provided,test,test
10,/home/runner/work/open-location-code/open-location-code/js/node_modules/bower/lib/node_modules/form-data/node_modules/lodash/lodash.js,-1,87772,87734,Not provided,test,test
11,/home/runner/work/open-location-code/open-location-code/js/node_modules/bower-installer/node_modules/bower/node_modules/glob/oh-my-glob.gif,-1,44381,40899,Not provided,test,test
12,/home/runner/work/open-location-code/open-location-code/js/node_modules/bower/lib/node_modules/inquirer/node_modules/lodash/index.js,-1,85241,85209,Not provided,test,test
13,/home/runner/work/open-location-code/open-location-code/js/node_modules/rx/dist/rx.all.compat.js,-1,48513,47276,Not provided,test,test
14,/home/runner/work/open-location-code/open-location-code/js/node_modules/eslint/CHANGELOG.md,-1,38730,30302,Not provided,test,test
15,/home/runner/work/open-location-code/open-location-code/js/node_modules/rx/dist/rx.all.js,-1,45176,43055,Not provided,test,test
16,/home/runner/work/open-location-code/open-location-code/js/node_modules/acorn/dist/acorn.js.map,-1,41813,33956,Not provided,test,test
17,/home/runner/work/open-location-code/open-location-code/js/node_modules/acorn/dist/acorn.mjs.map,-1,44342,41814,Not provided,test,test
18,/home/runner/work/open-location-code/open-location-code/js/node_modules/regexpp/index.js.map,-1,41476,33607,Not provided,test,test
19,/home/runner/work/open-location-code/open-location-code/js/node_modules/regexpp/index.mjs.map,-1,45358,43353,Not provided,test,test
20,/home/runner/work/open-location-code/open-location-code/js/node_modules/socket.io-client/dist/socket.io.slim.js.map,-1,45412,43493,Not provided,test,test
21,/home/runner/work/open-location-code/open-location-code/js/node_modules/rxjs/bundles/rxjs.umd.js,-1,63538,63358,Not provided,test,test
22,/home/runner/work/open-location-code/open-location-code/js/node_modules/rxjs/bundles/rxjs.umd.min.js.map,-1,72033,71980,Not provided,test,test
23,/home/runner/work/open-location-code/open-location-code/js/node_modules/bower/lib/node_modules/uglify-js/lib/compress.js,-1,77203,77099,Not provided,test,test
