,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/open-location-code/open-location-code/test_data/encoding.csv,2909,2578,2576,test,uses-checkout,uses-checkout
1,/home/runner/work/open-location-code/open-location-code/test_data/decoding.csv,2907,2574,2572,test,uses-checkout,uses-checkout
2,/home/runner/work/open-location-code/open-location-code/ruby/lib/plus_codes/open_location_code.rb,3001,2500,2498,test,uses-checkout,uses-checkout
3,/home/runner/work/open-location-code/open-location-code/ruby/open-location-code.gemspec,3007,2504,2502,test,uses-checkout,uses-checkout
4,/home/runner/work/open-location-code/open-location-code/ruby/rubocop.yml,2919,2508,2506,test,uses-checkout,uses-checkout
5,/home/runner/work/open-location-code/open-location-code/test_data/shortCodeTests.csv,2911,2582,2580,test,uses-checkout,uses-checkout
6,/home/runner/work/open-location-code/open-location-code/test_data/validityTests.csv,2913,2586,2584,test,uses-checkout,uses-checkout
7,/home/runner/work/open-location-code/open-location-code/.github/workflows/script.py,3028,1224,1222,finished,uses-checkout,uses-checkout
8,/home/runner/work/open-location-code/open-location-code/ruby/test/plus_codes_test.rb,3013,2514,-1,test,uses-checkout,Not provided
9,/home/runner/work/open-location-code/open-location-code/ruby/lib/plus_codes/code_area.rb,2995,2496,-1,test,uses-checkout,Not provided
10,/home/runner/work/open-location-code/open-location-code/ruby/lib/plus_codes.rb,2989,2490,-1,test,uses-checkout,Not provided
