,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/symphony/symphony/target/symphony.jar,111803,89532,42655,BuildwithMaven,BuildwithMaven,BuildwithMaven
1,/home/runner/work/symphony/symphony/target/classes/js/lib/vditor/dist/js/graphviz/full.render.js,74873,32654,31685,BuildwithMaven,BuildwithMaven,BuildwithMaven
2,/home/runner/work/symphony/symphony/target/classes/js/lib/vditor/dist/js/mathjax/tex-svg-full.js,72462,30680,29793,BuildwithMaven,BuildwithMaven,BuildwithMaven
3,/home/runner/work/symphony/symphony/target/classes/js/lib/vditor/dist/js/lute/lute.min.js,74028,31677,-1,BuildwithMaven,BuildwithMaven,Not provided
4,/home/runner/work/symphony/symphony/target/classes/js/lib/vditor/dist/js/mathjax/sre/mathmaps/mathmaps_ie.js,70864,28638,27955,BuildwithMaven,BuildwithMaven,BuildwithMaven
5,/home/runner/work/symphony/symphony/target/classes/js/lib/vditor/dist/js/mathjax/sre/sre_browser.js,71546,29782,29353,BuildwithMaven,BuildwithMaven,BuildwithMaven
6,/home/runner/work/symphony/symphony/target/classes/js/lib/vditor/dist/js/mermaid/mermaid.min.js,70506,27939,27530,BuildwithMaven,BuildwithMaven,BuildwithMaven
7,/home/runner/work/symphony/symphony/target/classes/js/lib/vditor/dist/js/echarts/echarts.min.js,69216,26692,26317,BuildwithMaven,BuildwithMaven,BuildwithMaven
8,/home/runner/work/symphony/symphony/target/classes/images/404/3.gif,49450,16784,16429,BuildwithMaven,BuildwithMaven,BuildwithMaven
9,/home/runner/work/symphony/symphony/src/main/resources/js/lib/vditor/dist/js/lute/lute.min.js,31676,9274,-1,BuildwithMaven,uses-checkout,Not provided
10,/home/runner/work/symphony/symphony/src/main/resources/js/lib/vditor/dist/js/graphviz/full.render.js,32653,8577,-1,BuildwithMaven,uses-checkout,Not provided
11,/home/runner/work/symphony/symphony/src/main/resources/js/lib/vditor/dist/js/mathjax/tex-svg-full.js,30679,9809,9710,BuildwithMaven,uses-checkout,uses-checkout
12,/home/runner/work/symphony/symphony/target/classes/images/holiday/mc-bg.png,48408,16299,16112,BuildwithMaven,BuildwithMaven,BuildwithMaven
13,/home/runner/work/symphony/symphony/target/classes/js/lib/vditor/dist/js/abcjs/abcjs_basic.min.js,70003,27403,27224,BuildwithMaven,BuildwithMaven,BuildwithMaven
14,/home/runner/work/symphony/symphony/target/classes/js/lib/vditor/dist/js/mathjax/sre/mathmaps/en.js,70976,28809,28642,BuildwithMaven,BuildwithMaven,BuildwithMaven
15,/home/runner/work/symphony/symphony/target/classes/js/lib/vditor/dist/js/highlight.js/highlight.pack.js,69825,27216,27055,BuildwithMaven,BuildwithMaven,BuildwithMaven
16,/home/runner/work/symphony/symphony/src/main/resources/js/lib/vditor/dist/js/mathjax/sre/mathmaps/mathmaps_ie.js,28637,9633,9553,BuildwithMaven,uses-checkout,uses-checkout
17,/home/runner/work/symphony/symphony/target/classes/images/holiday/ny-bg.jpg,47935,16108,15949,BuildwithMaven,BuildwithMaven,BuildwithMaven
18,/home/runner/work/symphony/symphony/target/classes/js/lib/vditor/dist/index.min.js,68490,26072,25939,BuildwithMaven,BuildwithMaven,BuildwithMaven
19,/home/runner/work/symphony/symphony/target/classes/js/lib/vditor/dist/js/mathjax/sre/mathmaps/de.js,71089,29081,28948,BuildwithMaven,BuildwithMaven,BuildwithMaven
20,/home/runner/work/symphony/symphony/target/classes/js/lib/vditor/dist/js/mathjax/sre/mathmaps/es.js,71231,29349,29216,BuildwithMaven,BuildwithMaven,BuildwithMaven
21,/home/runner/work/symphony/symphony/target/classes/js/lib/vditor/dist/js/mathjax/sre/mathmaps/fr.js,71021,28944,28813,BuildwithMaven,BuildwithMaven,BuildwithMaven
22,/home/runner/work/symphony/symphony/target/classes/js/lib/vditor/dist/js/mathjax/sre/mathmaps/nemeth.js,71164,29212,29085,BuildwithMaven,BuildwithMaven,BuildwithMaven
23,/home/runner/work/symphony/symphony/target/classes/js/lib/vditor/dist/js/katex/katex.min.js,75074,32848,32721,BuildwithMaven,BuildwithMaven,BuildwithMaven
