,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/ysoserial/ysoserial/target/ysoserial-optimizing-ci-builds-all.jar,-1,638587,5919,Not provided,Buildjar,Buildjar
1,/home/runner/work/ysoserial/ysoserial/ysoserial.png,-1,1074,1070,Not provided,uses-checkout,uses-checkout
2,/home/runner/work/ysoserial/ysoserial/pom.xml.versionsBackup,-1,1561,1556,Not provided,Setversion,Setversion
3,/home/runner/work/ysoserial/ysoserial/target/maven-status/maven-compiler-plugin/compile/default-compile/createdFiles.lst,-1,2465,2463,Not provided,Buildjar,Buildjar
4,/home/runner/work/ysoserial/ysoserial/target/maven-status/maven-compiler-plugin/compile/default-compile/inputFiles.lst,-1,2469,2467,Not provided,Buildjar,Buildjar
5,/home/runner/work/ysoserial/ysoserial/Dockerfile,-1,705,703,Not provided,uses-checkout,uses-checkout
6,/home/runner/work/ysoserial/ysoserial/README.md,-1,713,711,Not provided,uses-checkout,uses-checkout
7,/home/runner/work/ysoserial/ysoserial/appveyor.yml,-1,717,715,Not provided,uses-checkout,uses-checkout
8,/home/runner/work/ysoserial/ysoserial/target/maven-status/maven-compiler-plugin/testCompile/default-testCompile/inputFiles.lst,-1,3258,3256,Not provided,Buildjar,Buildjar
9,/home/runner/work/ysoserial/ysoserial/target/maven-status/maven-compiler-plugin/testCompile/default-testCompile/createdFiles.lst,-1,3254,3252,Not provided,Buildjar,Buildjar
10,/home/runner/work/ysoserial/ysoserial/LICENSE.txt,-1,709,707,Not provided,uses-checkout,uses-checkout
11,/home/runner/work/ysoserial/ysoserial/DISCLAIMER.txt,-1,701,699,Not provided,uses-checkout,uses-checkout
12,/home/runner/work/ysoserial/ysoserial/.travis.yml,-1,697,695,Not provided,uses-checkout,uses-checkout
13,/home/runner/work/ysoserial/ysoserial/.editorconfig,-1,679,677,Not provided,uses-checkout,uses-checkout
14,/home/runner/work/ysoserial/ysoserial/.gitignore,-1,693,691,Not provided,uses-checkout,uses-checkout
15,/home/runner/work/ysoserial/ysoserial/.github/workflows/publish.yml,-1,685,-1,Not provided,uses-checkout,Not provided
